,NLDAS_ID,STORAGE_SUM_OG
0,x100y100,3361364000.0
1,x100y101,6176978.0
2,x100y102,6176978.0
3,x100y103,6176978.0
4,x100y104,6176978.0
5,x100y105,24906092.0
6,x100y106,34867764.0
7,x100y107,34867764.0
8,x100y108,6176978.0
9,x100y109,24906092.0
10,x100y110,70487600.0
11,x100y111,434300640.0
12,x100y112,434300640.0
13,x100y113,434300640.0
14,x100y114,434300640.0
15,x100y115,434300640.0
16,x100y116,434300640.0
17,x100y117,434300640.0
18,x100y118,434300640.0
19,x100y119,2122646400.0
20,x100y120,458333730.0
21,x100y121,0.0
22,x100y122,509980380.0
23,x100y123,0.0
24,x100y124,0.0
25,x100y125,458333730.0
26,x100y126,2122646400.0
27,x100y127,2130787300.0
28,x100y128,2130787300.0
29,x100y129,2142964000.0
30,x100y130,2142964000.0
31,x100y131,2130787300.0
32,x100y132,2130787300.0
33,x100y133,2122646400.0
34,x100y134,2122646400.0
35,x100y135,2122646400.0
36,x100y136,0.0
37,x100y137,0.0
38,x100y138,622622700.0
39,x100y139,595682700.0
40,x100y140,2264783600.0
41,x100y141,2288896300.0
42,x100y142,2288896300.0
43,x100y143,2288896300.0
44,x100y144,2370231000.0
45,x100y145,3431917000.0
46,x100y146,2370231000.0
47,x100y147,2370231000.0
48,x100y148,2288896300.0
49,x100y149,2288896300.0
50,x100y150,0.0
51,x100y151,0.0
52,x100y152,0.0
53,x100y153,0.0
54,x100y154,0.0
55,x100y155,0.0
56,x100y156,0.0
57,x100y157,0.0
58,x100y158,639043200.0
59,x100y159,582555840.0
60,x100y160,0.0
61,x100y161,639043200.0
62,x100y162,847911000.0
63,x100y163,898525100.0
64,x100y164,854297860.0
65,x100y165,844414200.0
66,x100y166,582555840.0
67,x100y167,582555840.0
68,x100y168,152036670.0
69,x100y169,39412836.0
70,x100y170,582555840.0
71,x100y171,3090712.0
72,x100y172,39412836.0
73,x100y173,81806920.0
74,x100y174,46668956.0
75,x100y175,3090712.0
76,x100y176,81806920.0
77,x100y177,76953800.0
78,x100y178,582555840.0
79,x100y179,918265660.0
80,x100y180,985571700.0
81,x100y181,1248236800.0
82,x100y182,1248236800.0
83,x100y183,985571700.0
84,x100y184,982454140.0
85,x100y185,1241850000.0
86,x100y186,1275468200.0
87,x100y187,1446452200.0
88,x100y188,1446452200.0
89,x100y189,1446452200.0
90,x100y190,1446452200.0
91,x100y191,1446452200.0
92,x100y192,1446452200.0
93,x100y55,0.0
94,x100y56,0.0
95,x100y57,0.0
96,x100y58,27986205000.0
97,x100y59,0.0
98,x100y60,0.0
99,x100y61,27954674000.0
100,x100y62,61820854000.0
101,x100y63,61820854000.0
102,x100y64,61820854000.0
103,x100y65,61820854000.0
104,x100y66,61820854000.0
105,x100y67,63483010000.0
106,x100y68,61820854000.0
107,x100y69,27986205000.0
108,x100y70,61820854000.0
109,x100y71,61820854000.0
110,x100y72,27293600000.0
